web-scraper-order,web-scraper-start-url,description,section,section-href,section_description,title
"1694812220-87","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 406 - Power of Supreme Court to transfer cases and appeals","https://lawrato.com/indian-kanoon/crpc/section-406","","INDIAN KANOON SECTION 406 CrPC - Code of Criminal Procedure - Power of Supreme Court to transfer cases and appeals"
"1694812223-88","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 405 - High Court's order to be certified to lower Court","https://lawrato.com/indian-kanoon/crpc/section-405","When a case is revised under this Chapter by the High Court or a Sessions Judge, it or he shall, in the manner provided by section 388, certify its decision or order to the Court by which the finding sentence or order revised was recorded or passed, and the Court to which the decision or order is so certified shall thereupon make such orders as are conformable to the decision so certified; and, if necessary, the record shall be amended in accordance therewith.","INDIAN KANOON SECTION 405 CrPC - Code of Criminal Procedure - High Court's order to be certified to lower Court"
"1694812227-89","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 404 - Statement by Metropolitan Magistrate of grounds of his decision to be considered by High Court","https://lawrato.com/indian-kanoon/crpc/section-404","When the record of any trial held by a Metropolitan Magistrate is called for by the High Court or Court of Session under section 397, the Magistrate may submit with the record a statement setting forth the grounds of his decision or order and any facts which he thinks material to the issue; and the Court shall consider such statement before overruling or setting aside the said decision or order.","INDIAN KANOON SECTION 404 CrPC - Code of Criminal Procedure - Statement by Metropolitan Magistrate of grounds of his decision to be considered by High Court"
"1694812228-90","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 403 - Option of Court to hear parties","https://lawrato.com/indian-kanoon/crpc/section-403","Save as otherwise expressly provided by this Code no party has any right to be heard either personally or by pleader before any Court exercising its powers of revision; but the Court may, if it thinks fit, when exercising such powers, hear any party either personally or by pleader.","INDIAN KANOON SECTION 403 CrPC - Code of Criminal Procedure - Option of Court to hear parties"
"1694812231-91","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 402 - Power of High Court to withdraw or transfer revision cases","https://lawrato.com/indian-kanoon/crpc/section-402","","INDIAN KANOON SECTION 402 CrPC - Code of Criminal Procedure - Power of High Court to withdraw or transfer revision cases"
"1694812234-92","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 401 - High Court's powers of revision","https://lawrato.com/indian-kanoon/crpc/section-401","","INDIAN KANOON SECTION 401 CrPC - Code of Criminal Procedure - High Court's powers of revision"
"1694812237-93","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 400 - Power of Additional Sessions Judge","https://lawrato.com/indian-kanoon/crpc/section-400","An Additional Sessions Judge shall have and may exercise all the powers of a Sessions Judge under this Chapter in respect of any case which may be transferred to him by or under any general or special order of the Sessions Judge.","INDIAN KANOON SECTION 400 CrPC - Code of Criminal Procedure - Power of Additional Sessions Judge"
"1694812240-94","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 399 - Sessions Judge's powers of revision","https://lawrato.com/indian-kanoon/crpc/section-399","","INDIAN KANOON SECTION 399 CrPC - Code of Criminal Procedure - Sessions Judge's powers of revision"
"1694812243-95","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 398 - Power to order inquiry","https://lawrato.com/indian-kanoon/crpc/section-398","On examining any record under section 397 or otherwise, the High Court or the Sessions Judge may direct the Chief Judicial Magistrate by himself or by any of the Magistrates subordinate to him to make, and the Chief Judicial Magistrate may himself make or direct any subordinate Magistrate to make, further inquiry into any complaint which has been dismissed under section 203 of Sub-Section (4) of section 204 or into the case of any person accused of an offence who has been discharged;

Provided that no Court shall make any direction under this section for inquiry into the case of any person who has been discharged unless such person has had an opportunity of showing cause why such direction should not be made.","INDIAN KANOON SECTION 398 CrPC - Code of Criminal Procedure - Power to order inquiry"
"1694812247-96","https://lawrato.com/indian-kanoon/crpc","The Code of Criminal Procedure, 1973 is the main legislation that provides for the procedure for the substantive criminal law in India. It extends to the whole of India except the State of Jammu and Kashmir.","CrPC Section 397 - Calling for records to exercise powers of revision","https://lawrato.com/indian-kanoon/crpc/section-397","","INDIAN KANOON SECTION 397 CrPC - Code of Criminal Procedure - Calling for records to exercise powers of revision"
